catch,Catch the ball.
bench,Sit on the bench.
knife,Ouch sharp knife.
assign,Assign the homework.
scratch,Scratch the bug bite.
knit,Knit a scarf.
kneecap,Bruise your kneecap.
reign,The king reigns.
stretch,Stretch your muscles.
chapter,Read a chapter.
couch,Sit on the couch.
knowledge,Increase your knowledge.
chase,Chase hot air balloons.
match,Look for a match.
qt.,quart
oz.,ounce
lb.,pound
daydream,happy thoughts (starts with d),vocab
honesty,telling the truth (starts with h),vocab
journey,to travel (starts with j),vocab
