changeable,The color was changeable.
creator,God is the creator.
outrageous,The accusation was outrageous.
coward,Don't be a coward.
difference,The difference was two.
pastor,The pastor preached a sermon.
parallel,The two lines were parallel.
designer,The designer designed a new building.
instructor,The instructor taught the class.
noticeable,How noticeable is the mole.
Kansas,Kansas City is in Kansas.
West Virginia,What is the capital of West Virginia.
suggest,Can I suggest something to you?
liquid,The liquid was refreshing.
relative,Are you a relative to the president?
director,Who is the director of the operation?
precipitation,How much precipitation have we received?
wholly,The apple was wholly yummy.
replaceable,The part was replaceable.
visitor,Are you a visitor to our church?
incredible,The sunset was incredible.
advantage,Is there an advantage to method A?
virtue,Patience is a virtue.
genius,Albert Einstein was a genius.
peninsula,The city was on a peninsula.
compromise,Don't compromise your standards.
atheist,An atheist thinks that there is no God.
flexible,Be flexible with your scheduling.
sediment,The sediment landed at the bottom of the cup.
heroine,The heroine of the story saved the day.
