halves,halves of an orange
headache,migraine is a bad headache
technique,what is your technique?
hymn,hymn of praise
shelves,shelves are nice to store things
mural,mural on the wall
grammar,grammar is how to speak and write correctly
chiefs,chiefs of the tribe
actual,the actual value
North Dakota,It's a state
South Dakota,It's a state
conqueror,takes over a country
ourselves,Be honest with ourselves
scenic,mountains are scenic
personally,how do you personally feel?
desert,Barren in the desert.
dessert,Can't wait for dessert
roofs,look at all the roofs on the houses
appreciate,appreciate the flowers
bouquet,bouquet of flowers
artificial,artificial intelligence
vicious,the mean dog was vicious
responsibility,it's your responsibility
precede,one precedes two
character,character in a play
etiquette,etiquette is acting appropriately
strait,strait is a passage in a body of water
excess,excess glue on the craft
pageant,beauty pageant
antique,antique at the estate sale
